Change component parameters: Designator = "U1" ("U1"); Footprint = "SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL-EP3.1-1"; UniqueID = "\AZVTDULJ" ("\AZVTDULJ")
Change component parameters (AddParameter): Name = "Add into BOM"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Convert to PCB"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://atta.szlcsc.com/upload/public/pdf/source/20150821/1457707346919.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "XL7005A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Frequency - Switching"; Value = "150kHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Function"; Value = "½µÑ¹ÐÍ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "Extended Part"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "0.4A 150kHz 80V ½µÑ¹ÐÍDC-DC×ª»»Æ÷"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "XLSEMI(Ð¾Áú)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part"; Value = "XL7005A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Outputs"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-40¡æ~+125¡æ@(TJ)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Output Current"; Value = "400mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Output Type"; Value = "¿Éµ÷"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Output Voltage"; Value = "1.25V~20V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Quiescent Current"; Value = "2.5mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "SOIC-8-EP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part"; Value = "C50848"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Switch tube (built-in/external)"; Value = "ÄÚÖÃ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "XL7005A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Synchronous Rectifier"; Value = "·ñ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Topology"; Value = "½µÑ¹Ê½"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Supply"; Value = "5V~80V"; VariantName = "[No Variations]"
Added Pin To Net: NetName=GND Pin=U1-9
